-3.85			0.337266
-3.75			0.291985
-3.65			0.252012
-3.55			0.216595
-3.45			0.184981
-3.35			0.156416
-3.25			0.130149
-3.15			0.105426
-3.05			0.0814947
-2.95			0.0576018
-2.85			0.0329947
-2.75			0.00692052
-2.65			-0.0213736
-2.55			-0.0526406
-2.45			-0.0876332
-2.35			-0.127104
-2.25			-0.171807
-2.15			-0.222493
-2.05			-0.279917
-1.95			-0.344831
-1.85			-0.414185
-1.75			-0.478755
-1.65			-0.537551
-1.55			-0.58999
-1.45			-0.63549
-1.35			-0.673468
-1.25			-0.703343
-1.15			-0.72453
-1.05			-0.736448
-0.95			-0.738515
-0.85			-0.730148
-0.75			-0.710765
-0.65			-0.679782
-0.55			-0.636619
-0.45			-0.580691
-0.35			-0.511418
-0.25			-0.428216
-0.15			-0.330502
-0.05			-0.217696
0.05			-0.0907984
0.15			0.0404136
0.25			0.172773
0.35			0.304604
0.45			0.43423
0.55			0.559976
0.65			0.680165
0.75			0.793122
0.85			0.89717
0.95			0.990634
1.05			1.07184
1.15			1.1391
1.25			1.19076
1.35			1.22512
1.45			1.24052
1.55			1.23528
1.65			1.20773
1.75			1.15618
1.85			1.07896
1.95			0.975017
2.05			0.857117
2.15			0.732199
2.25			0.60197
2.35			0.468135
2.45			0.332399
2.55			0.196468
2.65			0.0620474
2.75			-0.0691579
2.85			-0.195442
2.95			-0.3151
3.05			-0.426427
3.15			-0.527716
3.25			-0.617263
3.35			-0.693362
3.45			-0.754308
3.55			-0.798395
3.65			-0.823918
3.75			-0.829172
